"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",4,"female (divorced/separated/married)","none",2,"real estate",21,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",15221
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",4,"male (single)","none",4,"building society savings agreement/ life insurance",40,"stores","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",15234
"0 - 200","critical account/ other credits existing (not at this bank)","500 to 1000","1 to 4 years",2,"male (single)","none",4,"car or other",27,"bank","own",1,"skilled employee / official",1,"none","Yes","good",15247
"No checking account","existing credits paid back duly till now","less than 100","4 to 7 years",3,"female (divorced/separated/married)","none",2,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",15260
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (married/widowed)","none",2,"building society savings agreement/ life insurance",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",15273
"0 - 200","existing credits paid back duly till now","more than 1000","less than 1 year",1,"female (divorced/separated/married)","none",4,"real estate",19,"none","rent",1,"unskilled - resident",1,"none","Yes","good",15286
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (single)","none",4,"unknown / no property",39,"bank","for free",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",15299
"Negative","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",1,"female (divorced/separated/married)","none",4,"car or other",31,"none","own",1,"skilled employee / official",1,"none","Yes","good",15312
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",2,"male (single)","none",3,"car or other",31,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",15325
"0 - 200","delay in paying off in the past","100 to 500","4 to 7 years",2,"male (single)","none",3,"unknown / no property",32,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",15338
"Negative","existing credits paid back duly till now","less than 100","Unemployed",3,"female (divorced/separated/married)","none",4,"unknown / no property",55,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",15351
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"male (married/widowed)","none",2,"building society savings agreement/ life insurance",46,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",15364
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",1,"male (divorced/separated)","none",1,"real estate",46,"none","rent",2,"skilled employee / official",1,"none","Yes","bad",15377
"No checking account","critical account/ other credits existing (not at this bank)","more than 1000","1 to 4 years",4,"female (divorced/separated/married)","none",1,"real estate",43,"none","own",2,"unskilled - resident",1,"none","Yes","good",15390
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",3,"male (married/widowed)","none",4,"real estate",39,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",15403
"0 - 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","1 to 4 years",4,"male (married/widowed)","none",4,"real estate",28,"bank","own",2,"skilled employee / official",1,"none","Yes","good",15416
"No checking account","delay in paying off in the past","less than 100","less than 1 year",2,"male (single)","none",2,"car or other",27,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",15429
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",27,"none","own",2,"unskilled - resident",1,"none","Yes","good",15442
"0 - 200","delay in paying off in the past","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"car or other",43,"none","own",1,"skilled employee / official",2,"none","Yes","good",15455
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",1,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",15468
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",4,"male (single)","none",4,"car or other",43,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",15481
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (married/widowed)","none",2,"real estate",27,"none","own",1,"skilled employee / official",1,"none","No","good",15494
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",3,"male (divorced/separated)","none",2,"car or other",26,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",15507
"Over 200","critical account/ other credits existing (not at this bank)","500 to 1000","4 to 7 years",4,"male (married/widowed)","none",2,"real estate",28,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",15520
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",4,"female (divorced/separated/married)","none",4,"car or other",20,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",15533
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",3,"male (single)","none",2,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",15546
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",4,"male (single)","none",2,"car or other",42,"stores","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",15559
"No checking account","existing credits paid back duly till now","500 to 1000","1 to 4 years",3,"male (single)","none",2,"unknown / no property",40,"none","rent",1,"unskilled - resident",2,"none","No","good",15572
"Negative","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",35,"none","own",1,"skilled employee / official",1,"none","Yes","bad",15585
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",15598
